Year,<1 yr,1-6 yrs,7-10 yrs,11-19 yrs,20+ yrs
1990,47.89,5.57,1.68,1.38,0.19
1991,27.27,3.2,0.96,0.58,0.14
1992,38.41,3.93,1.95,1.99,0.27
1993,68,6.59,3.26,2.08,0.33
1994,42.61,4.35,2.26,2.3,0.27
1995,48.74,4.71,3.17,2.41,0.42
1996,63.23,6.01,4.81,5.25,0.72
1997,52.73,4.49,4.23,4.33,0.66
1998,56.71,5.45,3.8,4.88,0.78
1999,57.12,4.57,3.98,5.17,0.74
2000,54.23,4.15,3.9,7.08,0.74
2001,46.84,5.49,4.09,5.58,0.79
2002,59.01,7.53,4.94,6.8,1.08
2003,54.98,6.41,4.81,11.34,1.32
2004,79,15.28,12.07,24.5,3.29
2005,96.47,14.15,12.64,19.17,3.5
2006,48.78,7.47,8.32,11.05,2.63
2007,40.25,5.64,8.48,6.02,1.57
2008,50.54,7.67,18.85,6.58,1.35
2009,75.23,11.16,23.76,7.75,1.73
2010,100.9,23.27,31.78,13.3,3.15
2011,70.89,15.02,20.05,10.26,2.15
2012,126.65,34.09,58.52,38.02,4.51
2013,102.77,22.09,30.61,21.27,2.61
2014,106.68,25.14,34.04,29.57,2.5
2015,68.1,15.6,17.45,17.9,1.9
2016,51.41,13.65,14.84,16.31,1.68
2017,57.78,15.16,15.79,16.83,1.68
